Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated,TotalSamples,Negative,Positive
1.0,2020-01-30,6:00 PM,Kerala,1,0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2020-01-31,6:00 PM,Kerala,1,0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,2020-02-01,6:00 PM,Kerala,2,0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2020-02-02,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,2020-02-03,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,2020-02-04,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,2020-02-05,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,2020-02-06,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,2020-02-07,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,2020-02-08,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,2020-02-09,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,2020-02-10,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,2020-02-11,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,2020-02-12,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,2020-02-13,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,2020-02-14,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,2020-02-15,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,2020-02-16,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,2020-02-17,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,2020-02-18,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,2020-02-19,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,2020-02-20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,2020-02-21,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,2020-02-22,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,2020-02-23,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,2020-02-24,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,2020-02-25,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,2020-02-26,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,2020-02-27,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,2020-02-28,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,2020-02-29,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,2020-03-01,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,2020-03-02,6:00 PM,Telengana,1,0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,2020-03-02,6:00 PM,Kerala,3,0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,2020-03-02,6:00 PM,Delhi,1,0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,2020-03-03,6:00 PM,Telengana,1,0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,2020-03-03,6:00 PM,Rajasthan,0,1,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,2020-03-03,6:00 PM,Kerala,3,0,3.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,2020-03-03,6:00 PM,Delhi,1,0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,2020-03-04,6:00 PM,Uttar Pradesh,6,0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,2020-03-04,6:00 PM,Kerala,3,0,3.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,2020-03-04,6:00 PM,Haryana,0,2,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
